cir edge   valve  valve2
1	2.28	2.32	2.3
2	1.33	1.38	1.35
3	1.28	1.27	1.29
4	0.71	0.71	0.71
5	0.31	0.31	0.31
6	0.3	0.3	0.3
















